2024-06-17 21:22:55,239 - __main__ - INFO - Running test and recording
2024-06-17 21:22:55,239 - __main__ - INFO - Starting the genetic algorithm
2024-06-18 03:30:23,090 - __main__ - INFO - Recording the best individual
2024-06-18 03:30:54,797 - __main__ - INFO - Episode 1, Score: -204.6779661016932
2024-06-18 03:31:26,819 - __main__ - INFO - Episode 2, Score: -125.51111111111086
2024-06-18 03:31:57,155 - __main__ - INFO - Episode 3, Score: -194.1580645161279
2024-06-18 03:32:26,878 - __main__ - INFO - Episode 4, Score: -183.15263157894665
2024-06-18 03:32:57,060 - __main__ - INFO - Episode 5, Score: -193.95342019543858
2024-06-18 03:33:26,327 - __main__ - INFO - Episode 6, Score: -121.75867158671548
2024-06-18 03:33:55,995 - __main__ - INFO - Episode 7, Score: -183.84179104477536
2024-06-18 03:34:26,372 - __main__ - INFO - Episode 8, Score: -195.43333333333214
2024-06-18 03:34:56,147 - __main__ - INFO - Episode 9, Score: -175.03829787234076
2024-06-18 03:35:26,421 - __main__ - INFO - Episode 10, Score: -186.86043165467538
